method,ops,avg_sec
gemm,17179869184,1.18394
freivalds,16777216,0.0055534
gemm,17179869184,1.03758
freivalds,16777216,0.00530317
gemm,17179869184,1.18182
freivalds,16777216,0.018748
gemm,17179869184,1.12717
freivalds,16777216,0.016782
gemm,17179869184,1.03759
freivalds,16777216,0.00576286
gemm,17179869184,1.03552
freivalds,16777216,0.00627796
gemm,17179869184,1.02285
freivalds,16777216,0.00602467
gemm,17179869184,0.993026
freivalds,16777216,0.0063363
gemm,17179869184,1.00559
freivalds,16777216,0.00574209
gemm,17179869184,1.01142
freivalds,16777216,0.00635221
gemm,17179869184,1.10494
freivalds,16777216,0.00691151
gemm,17179869184,1.00514
freivalds,16777216,0.00523998
